"season","Date","Visitor","G","Home","G","Var.7","Att.","LOG","Notes","playoffs"
1950,"1950-01-28","Detroit Red Wings","1","Montreal Canadiens","1","","","","",0
1950,"1950-01-28","Chicago Black Hawks","1","Toronto Maple Leafs","9","","","","",0
1950,"1950-01-29","Detroit Red Wings","1","Boston Bruins","4","","","","",0
1950,"1950-01-29","Toronto Maple Leafs","4","Chicago Black Hawks","0","","","","",0
1950,"1950-01-29","Montreal Canadiens","0","New York Rangers","2","","","","",0
1950,"1950-02-01","New York Rangers","2","Boston Bruins","3","","","","",0
1950,"1950-02-01","Toronto Maple Leafs","0","Chicago Black Hawks","3","","","","",0
1950,"1950-02-01","Montreal Canadiens","3","Detroit Red Wings","3","","","","",0
1950,"1950-02-02","New York Rangers","1","Montreal Canadiens","4","","","","",0
1950,"1950-02-04","Chicago Black Hawks","6","Montreal Canadiens","2","","","","",0
1950,"1950-02-04","Detroit Red Wings","3","Toronto Maple Leafs","3","","","","",0
1950,"1950-02-05","Toronto Maple Leafs","2","Boston Bruins","1","","","","",0
1950,"1950-02-05","Montreal Canadiens","4","Chicago Black Hawks","3","","","","",0
1950,"1950-02-05","New York Rangers","5","Detroit Red Wings","5","","","","",0
1950,"1950-02-08","Toronto Maple Leafs","3","Boston Bruins","1","","","","",0
1950,"1950-02-08","Chicago Black Hawks","2","Detroit Red Wings","9","","","","",0
1950,"1950-02-09","New York Rangers","5","Chicago Black Hawks","3","","","","",0
1950,"1950-02-11","Detroit Red Wings","9","Boston Bruins","4","","","","",0
1950,"1950-02-11","Montreal Canadiens","0","Toronto Maple Leafs","2","","","","",0
1950,"1950-02-12","Montreal Canadiens","3","Boston Bruins","3","","","","",0
1950,"1950-02-12","Toronto Maple Leafs","1","Chicago Black Hawks","1","","","","",0
1950,"1950-02-12","Detroit Red Wings","0","New York Rangers","4","","","","",0
1950,"1950-02-15","Detroit Red Wings","0","Chicago Black Hawks","3","","","","",0
1950,"1950-02-15","Boston Bruins","2","New York Rangers","2","","","","",0
1950,"1950-02-16","Toronto Maple Leafs","3","Montreal Canadiens","3","","","","",0
1950,"1950-02-18","New York Rangers","4","Montreal Canadiens","2","","","","",0
1950,"1950-02-18","Detroit Red Wings","2","Toronto Maple Leafs","3","","","","",0
1950,"1950-02-19","Boston Bruins","4","Chicago Black Hawks","4","","","","",0
1950,"1950-02-19","Toronto Maple Leafs","1","New York Rangers","2","","","","",0
1950,"1950-02-20","Montreal Canadiens","0","Detroit Red Wings","2","","","","",0
1950,"1950-02-22","Chicago Black Hawks","0","New York Rangers","3","","","","",0
1950,"1950-02-22","Boston Bruins","1","Toronto Maple Leafs","3","","","","",0
1950,"1950-02-23","New York Rangers","7","Chicago Black Hawks","3","","","","",0
1950,"1950-02-23","Detroit Red Wings","1","Montreal Canadiens","1","","","","",0
1950,"1950-02-25","Boston Bruins","2","Montreal Canadiens","3","","","","",0
1950,"1950-02-25","New York Rangers","2","Toronto Maple Leafs","4","","","","",0
1950,"1950-02-26","Detroit Red Wings","4","Chicago Black Hawks","1","","","","",0
1950,"1950-02-26","Boston Bruins","3","New York Rangers","4","","","","",0
1950,"1950-03-01","Toronto Maple Leafs","2","Boston Bruins","5","","","","",0
1950,"1950-03-01","Detroit Red Wings","5","New York Rangers","2","","","","",0
1950,"1950-03-02","Montreal Canadiens","2","Chicago Black Hawks","5","","","","",0
1950,"1950-03-04","New York Rangers","1","Boston Bruins","5","","","","",0
